WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,covered,disused,ele,highway,historic,layer,leisure,name,office,operator,power,ref,shop,sport,tourism
"POINT (-6.34203519911718 36.7875002955841)","909545714",,,,cafe,,,,,,,,,,bar el canal 2,,,,,,,
"POINT (-6.95564959903177 37.2562004955462)","1542080413",,,,cafe,,,,,,,,,,Bar Cafetería AQUA,,,,,,,
"POINT (-6.95479559903188 37.2576935955461)","5800991816",,,"5",cafe,,,,,,,,,,Seronuba,,,,,,,
"POINT (-6.95459229903191 37.2574173955461)","6550893785",,,,cafe,,,,,,,,,,Granier,,,,,,,
"POINT (-6.94846889903277 37.2549651955463)","3956581589",,,,cafe,,,,,,,,,,Le Petit Café,,,,,,,
"POINT (-6.94585849903313 37.2577605955461)","5126795735",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.9532183990321 37.2611435955458)","3953747200",,,,cafe,,,,,,,,,,El Olam,,,,,,,
"POINT (-6.86780629904399 37.1889677955516)","541424226",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.94115559903378 37.2547409955463)","4718638789",,,,cafe,,,,,,,,,,La Casa del Guarda,,,,,,,
"POINT (-6.93487189903466 37.2596419955459)","5597621621",,,,cafe,,,,,,,,,,Dard (Daro) Cafe Bar,,,,,,,
"POINT (-6.9381468990342 37.2605200955458)","5567280126",,,,cafe,,,,,,,,,,La Serrania de Jabugo (H-7),,,,,,,
"POINT (-6.82587019904983 37.1313387955562)","1487717103",,,,cafe,,,,,,,,,,Chiringuito Cherengueti,,,,,,,
"POINT (-6.82842659904948 37.1373276955557)","1712581466",,,,cafe,,,,,,,,,,Cafetería París,,,,,,,
"POINT (-6.72957759906324 37.0937934955592)","1181374605",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.54101189908948 36.9929916955674)","6923836385",,,,cafe,,,,,,,,,,Cafetería del Bú,,,,,,,
"POINT (-6.56433219908624 37.0074368955662)","807588021",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.56361299908634 37.0079947955662)","5619432522",,,,cafe,,,,,,,,,,Churreria Asador Virgin del Rocio,,,,,,,
"POINT (-6.56418899908626 37.0084037955661)","807588491",,,,cafe,,,,,,,,,,Entre dos mundos,,,,,,,
"POINT (-6.56394769908629 37.0083617955661)","807588304",,,,cafe,,,,,,,,,,Cafetería Naranja,,,,,,,
"POINT (-6.55874659908701 37.0062624955663)","1876484582",,,,cafe,,,,,,,,,,Cafetería Doñana,,,,,,,
"POINT (-6.37799019911218 37.0734853955609)","3952050706",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.4841690990974 37.1301576955563)","1736103124",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.27388679912667 36.5993008955995)","2450650914",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-6.21671599913463 36.5723852956017)","1055287452",,,,cafe,,,,,,,,,,Los Toruños,,,,,,,
"POINT (-6.23941059913147 36.5929852956)","2335839661",,,,cafe,,,,,,,,,,Martin's Cafe,,,,,,,
"POINT (-6.23047889913271 36.5975311955996)","2335839690",,,,cafe,,,,,,,,,,Fragola,,,,,,,
"POINT (-6.22659459913325 36.6002558955994)","6699286561",,,,cafe,,,,,,,,,,El Mercado,,,,,,,
"POINT (-6.22363009913366 36.5977192955996)","4262735389",,,,cafe,,,,,,,,,,La cristalera,,,,,,,
"POINT (-6.15604709914307 36.690602395592)","1574615225",,,,cafe,,,,,,,,,,Café de Indias,,,,,,,
"POINT (-6.15538649914316 36.6923653955919)","1574608646",,,,cafe,,,,,,,,,,Café de Indias,,,,,,,
"POINT (-6.13682109914575 36.6810333955928)","4344468444",,,,cafe,,,,,,,,,,El 7,,,,,,,
"POINT (-6.13691529914573 36.6823805955927)","4161555505",,,,cafe,,,,,,,,,,100 Montaditos,,,,,,,
"POINT (-6.1364232991458 36.6821507955927)","3274442413",,,,cafe,,,,,,,,,,Cafetería La Vega,,,,,,,
"POINT (-6.13442479914608 36.6815526955927)","5202532922",,,,cafe,,,,,,,,,,Julio Alacant,,,,,,,
"POINT (-6.13523149914597 36.6828284955926)","6359171186",,,"20",cafe,,,,,,,,,,Coso,,,,,,,
"POINT (-6.13081399914658 36.6820047955927)","4343203928",,,,cafe,,,,,,,,,,La Rosa de Oro,,,,,,,
"POINT (-6.13115619914654 36.6838663955925)","3880728242",,,,cafe,,,,,,,,,,Café Roma,,,,,,,
"POINT (-6.12658529914717 36.6801927955928)","6468676497",,,,cafe,,,,,,,,,,Cafetería Estación De Ferrocarril,,,,,,,
"POINT (-6.14052519914523 36.7016609955911)","1947567039",,,,cafe,,,,,,,,,,Café Bar Wimpy,,,,,,,
"POINT (-6.11550549914871 36.7059353955907)","4377901393",,,,cafe,,,,,,,,,,La Holandesa,,,,,,,
